year,rank,title,gross
2018,1,Black Panther,700059566
2018,2,Avengers: Infinity War,678815482
2018,3,Incredibles 2,608581744
2018,4,Jurassic World: Fallen Kingdom,417719760
2018,5,Aquaman,335038565
2017,1,Star Wars: The Last Jedi,620181382
2017,2,Beauty and the Beast (2017),504014165
2017,3,Wonder Woman,412563408
2017,4,Jumanji: Welcome to the Jungle,404515480
2017,5,Guardians of the Galaxy Vol. 2,389813101
2016,1,Rogue One: A Star Wars Story,532177324
2016,2,Finding Dory,486295561
2016,3,Captain America: Civil War,408084349
2016,4,The Secret Life of Pets,368384330
2016,5,The Jungle Book (2016),364001123
2015,1,Star Wars: The Force Awakens,936662225
2015,2,Jurassic World,652270625
2015,3,Avengers: Age of Ultron,459005868
2015,4,Inside Out,356461711
2015,5,Furious 7,353007020
2014,1,American Sniper,350126372
2014,2,The Hunger Games: Mockingjay - Part 1,337135885
2014,3,Guardians of the Galaxy,333176600
2014,4,Captain America: The Winter Soldier,259766572
2014,5,The LEGO Movie,257760692
2013,1,The Hunger Games: Catching Fire,424668047
2013,2,Iron Man 3,409013994
2013,3,Frozen,400738009
2013,4,Despicable Me 2,368061265
2013,5,Man of Steel,291045518
2012,1,Marvel's The Avengers,623357910
2012,2,The Dark Knight Rises,448139099
2012,3,The Hunger Games,408010692
2012,4,Skyfall,304360277
2012,5,The Hobbit: An Unexpected Journey,303003568
2011,1,Harry Potter and the Deathly Hallows Part 2,381011219
2011,2,Transformers: Dark of the Moon,352390543
2011,3,The Twilight Saga: Breaking Dawn Part 1,281287133
2011,4,The Hangover Part II,254464305
2011,5,Pirates of the Caribbean: On Stranger Tides,241071802
2010,1,Toy Story 3,415004880
2010,2,Alice in Wonderland (2010),334191110
2010,3,Iron Man 2,312433331
2010,4,The Twilight Saga: Eclipse,300531751
2010,5,Harry Potter and the Deathly Hallows Part 1,295983305
2009,1,Avatar,749766139
2009,2,Transformers: Revenge of the Fallen,402111870
2009,3,Harry Potter and the Half-Blood Prince,301959197
2009,4,The Twilight Saga: New Moon,296623634
2009,5,Up,293004164
